mukey,areasymbol,musym,muname,compname,comppct_r,hydgrp,drainagecl,floodfreq,pondfreq,ksat_um_s,ksat_in_hr,awc,aashto,uscs,reskind,resdept_ft,wtdepannmin_ft,eng_roads,eng_shallow_excav,eng_dwellings,eng_sand_source
1603364,DE005,AbC,"Acquango-Beaches complex, 0 to 10 percent slopes",Acquango,50,A,Excessively drained,Occasional,0,600,85.0392,0.05,A-3,SP-SM,,,0.4,Very limited,Very limited,Very limited,Good
1603365,DE005,AsA,"Askecksy loamy sand, 0 to 2 percent slopes",Askecksy,45,A/D,Poorly drained,None,90,600,85.0392,0.45,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1603366,DE005,AuB,"Acquango-Urban land complex, 0 to 5 percent slopes",Acquango,45,,Excessively drained,Occasional,0,600,85.0392,0.05,A-3,SP-SM,,,,Not rated,Not rated,Not rated,Not rated
1603369,DE005,BhA,"Berryland mucky loamy sand, 0 to 2 percent slopes",Berryland,50,A/D,Very poorly drained,None,85,92,13.0393,0.12,A-2,SM,,,0.2,Very limited,Very limited,Very limited,Fair
1603372,DE005,BuA,"Brockatonorton-Urban land complex, 0 to 2 percent slopes",Brockatonorton,45,,Moderately well drained,Occasional,0,92,13.0393,0.05,A-3,SP-SM,,,2.5,Not rated,Not rated,Not rated,Not rated
1603373,DE005,CaA,"Carmichael loam, 0 to 2 percent slopes",Carmichael,45,C/D,Poorly drained,None,90,5.64,0.7994,0.22,A-4,ML,,,0.4,Very limited,Very limited,Very limited,Fair
1603374,DE005,CdB,"Cedartown loamy sand, 0 to 5 percent slopes",Cedartown,75,A,Somewhat excessively drained,None,0,45,6.3779,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603377,DE005,CoA,"Corsica mucky loam, 0 to 2 percent slopes",Corsica,55,B/D,Very poorly drained,None,95,600,85.0392,0.5,A-8,PT,,,0.2,Very limited,Very limited,Very limited,Poor
1603378,DE005,DnA,"Downer loamy sand, 0 to 2 percent slopes",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603379,DE005,DndB,"Downer loamy sand, 2 to 5 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603380,DE005,DnC,"Downer loamy sand, 5 to 10 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603381,DE005,DoA,"Downer sandy loam, 0 to 2 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603382,DE005,DodB,"Downer sandy loam, 2 to 5 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603383,DE005,DoC,"Downer sandy loam, 5 to 10 percent slopes",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603384,DE005,DuB,"Downer-Urban land complex, 0 to 5 percent slopes",Downer,60,A,Well drained,None,0,28,3.9685,0.12,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603391,DE005,EvB,"Evesboro loamy sand, 0 to 5 percent slopes",Evesboro,75,A,Excessively drained,None,0,92,13.0393,0.1,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603393,DE005,EvD,"Evesboro loamy sand, 5 to 15 percent slopes",Evesboro,75,A,Excessively drained,None,0,92,13.0393,0.1,A-2-4,SM,,,,Somewhat limited,Very limited,Somewhat limited,Fair
1603395,DE005,FadA,"Fallsington sandy loams, 0 to 2 percent slopes, Northern Tidewater Area",Fallsington,48,B/D,Poorly drained,None,83,600,85.0392,0.45,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1603396,DE005,FgdA,"Fallsington loams, 0 to 2 percent slopes, Northern Tidewater Area",Fallsington,38,C/D,Poorly drained,None,83,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1603397,DE005,FhA,"Fort Mott-Henlopen complex, 0 to 2 percent slopes",Fort Mott,45,A,Well drained,None,0,92,13.0393,0.07,A-2,SM,,,,Not limited,Very limited,Not limited,Fair
1603398,DE005,FhB,"Fort Mott-Henlopen complex, 2 to 5 percent slopes",Fort Mott,45,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603399,DE005,FmA,"Fort Mott loamy sand, 0 to 2 percent slopes",Fort Mott,80,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603400,DE005,FmB,"Fort Mott loamy sand, 2 to 5 percent slopes",Fort Mott,80,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603403,DE005,FzB,"Fallsington-Urban land complex, 0 to 5 percent slopes",Fallsington,40,B/D,Poorly drained,None,65,28,3.9685,0.13,A-4,SC-SM,,,0.4,Somewhat limited,Very limited,Very limited,Fair
1603404,DE005,GaB,"Galestown loamy sand, 0 to 5 percent slopes",Galestown,80,A,Somewhat excessively drained,None,0,135,19.1338,0.1,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603406,DE005,GoA,"Glassboro sandy loam, 0 to 2 percent slopes",Glassboro,80,A/D,Somewhat poorly drained,None,0,28.225,4.0004,0.13,A-2-4,SC-SM,,,1.0,Very limited,Very limited,Very limited,Fair
1603407,DE005,GrA,"Greenwich loam, 0 to 2 percent slopes",Greenwich,85,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
1603408,DE005,GrB,"Greenwich loam, 2 to 5 percent slopes",Greenwich,85,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
1603409,DE005,GuB,"Greenwich-Urban land complex, 0 to 5 percent slopes",Greenwich,60,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
1603410,DE005,HbA,"Hambrook sandy loam, 0 to 2 percent slopes",Hambrook,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1603411,DE005,HbB,"Hambrook sandy loam, 2 to 5 percent slopes",Hambrook,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1603412,DE005,HkB,"Hambrook-Urban land complex, 0 to 5 percent slopes",Hambrook,45,,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Not rated,Not rated,Not rated,Not rated
1603413,DE005,HmAd,"Hammonton loamy sand, 0 to 2 percent slopes, Northern Tidewater Area",Hammonton,85,B,Moderately well drained,None,5,28,3.9685,0.13,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603414,DE005,HnA,"Hammonton sandy loam, 0 to 2 percent slopes",Hammonton,80,B,Moderately well drained,None,5,28,3.9685,0.13,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603415,DE005,HoA,"Hammonton-Fallsington-Mullica complex, 0 to 2 percent slopes",Hammonton,40,B,Moderately well drained,None,55,28,3.9685,0.13,A-2-4,SM,,,0.4,Somewhat limited,Very limited,Very limited,Fair
1603416,DE005,HpA,"Henlopen loamy sand, 0 to 2 percent slopes",Henlopen,80,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603417,DE005,HpB,"Henlopen loamy sand, 2 to 5 percent slopes",Henlopen,80,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603418,DE005,HrA,"Henlopen-Rosedale complex, 0 to 2 percent slopes",Henlopen,50,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603419,DE005,HrB,"Henlopen-Rosedale complex, 2 to 5 percent slopes",Henlopen,45,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603420,DE005,HsA,"Henlopen-Rosedale-Urban land complex, 0 to 2 percent slopes",Henlopen,40,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603421,DE005,HuA,"Hurlock loamy sand, 0 to 2 percent slopes",Hurlock,41,A/D,Poorly drained,None,80,92,13.0393,0.1,A-2-4,SC-SM,,,0.4,Somewhat limited,Very limited,Very limited,Fair
1603422,DE005,HvA,"Hurlock sandy loam, 0 to 2 percent slopes",Hurlock,42,A/D,Poorly drained,None,85,28,3.9685,0.13,A-2-4,SC-SM,,,0.4,Very limited,Very limited,Very limited,Fair
1603423,DE005,IeA,"Ingleside loamy sand, 0 to 2 percent slopes",Ingleside,75,A,Well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603424,DE005,IeB,"Ingleside loamy sand, 2 to 5 percent slopes",Ingleside,75,A,Well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603425,DE005,IgA,"Ingleside sandy loam, 0 to 2 percent slopes",Ingleside,75,A,Well drained,None,0,28,3.9685,0.13,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603426,DE005,IgB,"Ingleside sandy loam, 2 to 5 percent slopes",Ingleside,75,A,Well drained,None,0,28,3.9685,0.13,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603427,DE005,ImB,"Ingleside-Hammonton-Fallsington complex, 0 to 5 percent slopes",Ingleside,35,A,Well drained,None,25,28,3.9685,0.13,A-2-4,SM,,,1.2,Somewhat limited,Very limited,Not limited,Fair
1603428,DE005,IuB,"Ingleside-Urban land complex, 0 to 5 percent slopes",Ingleside,50,A,Well drained,None,0,28,3.9685,0.13,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603433,DE005,KfA,"Keyport fine sandy loam, 0 to 2 percent slopes",Keyport,85,D,Moderately well drained,None,0,14,1.9842,0.16,A-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Poor
1603436,DE005,KgB,"Klej-Galloway complex, 0 to 5 percent slopes",Klej,45,A/D,Somewhat poorly drained,None,15,92,13.0393,0.1,A-2-4,SM,,,1.0,Very limited,Very limited,Very limited,Fair
1603438,DE005,KpA,"Keyport silt loam, 0 to 2 percent slopes",Keyport,80,D,Moderately well drained,None,5,9,1.2756,0.22,A-4,ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Poor
1603439,DE005,KpB,"Keyport silt loam, 2 to 5 percent slopes",Keyport,80,D,Moderately well drained,None,0,9,1.2756,0.22,A-4,ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Poor
1603440,DE005,KsA,"Klej loamy sand, 0 to 2 percent slopes",Klej,70,A/D,Somewhat poorly drained,None,10,100,14.1732,0.1,A-2-4,SM,,,1.0,Very limited,Very limited,Very limited,Fair
1603441,DE005,LfA,"Lenni sandy loam, 0 to 2 percent slopes",Lenni,50,D,Poorly drained,None,85,600,85.0392,0.45,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1603442,DE005,LhA,"Lenni silt loam, 0 to 2 percent slopes",Lenni,50,D,Poorly drained,None,80,5.64,0.7994,0.19,A-4,CL-ML,,,0.4,Very limited,Very limited,Very limited,Fair
1603446,DE005,M-W,Miscellaneous water,Miscellaneous water,100,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
1603447,DE005,MakAd,"Manahawkin muck, 0 to 2 percent slopes, frequently flooded, Mid Atlantic Coastal Plain",Manahawkin,80,A/D,Very poorly drained,Frequent,5,92,13.0393,0.45,A-8,PT,,,0.0,Very limited,Very limited,Very limited,Poor
1603448,DE005,McA,"Marshyhope loam, 0 to 2 percent slopes",Marshyhope,85,B/D,Somewhat poorly drained,None,0,14,1.9842,0.19,A-4,CL-ML,,,1.0,Very limited,Very limited,Very limited,Fair
1603449,DE005,MdA,"Marshyhope sandy loam, 0 to 2 percent slopes",Marshyhope,85,B/D,Somewhat poorly drained,None,0,28,3.9685,0.13,A-2-4,SC-SM,,,1.0,Very limited,Very limited,Very limited,Fair
1603451,DE005,MmA,"Mullica mucky sandy loam, 0 to 2 percent slopes",Mullica,50,A/D,Very poorly drained,None,80,28,3.9685,0.13,A-2-5,SM,,,0.2,Very limited,Very limited,Very limited,Fair
1603454,DE005,MuA,"Mullica-Berryland complex, 0 to 2 percent slopes",Mullica,26,A/D,Very poorly drained,None,85,28,3.9685,0.13,A-4,SM,,,0.2,Very limited,Very limited,Very limited,Fair
1603460,DE005,PpA,"Pepperbox loamy sand, 0 to 2 percent slopes",Pepperbox,80,A,Moderately well drained,None,0,135,19.1338,0.1,A-2,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603461,DE005,PpB,"Pepperbox loamy sand, 2 to 5 percent slopes",Pepperbox,80,A,Moderately well drained,None,0,135,19.1338,0.1,A-2,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603462,DE005,PrA,"Pepperbox-Rockawalkin complex, 0 to 2 percent slopes",Pepperbox,50,A,Moderately well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603463,DE005,PrB,"Pepperbox-Rockawalkin complex, 2 to 5 percent slopes",Pepperbox,50,A,Moderately well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603464,DE005,PsA,"Pepperbox-Rosedale complex, 0 to 2 percent slopes",Pepperbox,46,A,Moderately well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603465,DE005,PsB,"Pepperbox-Rosedale complex, 2 to 5 percent slopes",Pepperbox,46,A,Moderately well drained,None,0,135,19.1338,0.1,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603468,DE005,PyA,"Pineyneck loam, 0 to 2 percent slopes",Pineyneck,80,C,Moderately well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603470,DE005,RkA,"Rockawalkin loamy sand, 0 to 2 percent slopes",Rockawalkin,75,A,Moderately well drained,None,0,92,13.0393,0.07,A-2,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603471,DE005,RkB,"Rockawalkin loamy sand, 2 to 5 percent slopes",Rockawalkin,75,A,Moderately well drained,None,0,92,13.0393,0.07,A-2,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603472,DE005,RoA,"Rosedale loamy sand, 0 to 2 percent slopes",Rosedale,75,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SC-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603473,DE005,RoB,"Rosedale loamy sand, 2 to 5 percent slopes",Rosedale,75,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SC-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603474,DE005,RuA,"Runclint loamy sand, 0 to 2 percent slopes",Runclint,75,A,Excessively drained,None,5,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603476,DE005,RuB,"Runclint loamy sand, 2 to 5 percent slopes",Runclint,75,A,Excessively drained,None,5,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603480,DE005,SadA,"Sassafras sandy loam, 0 to 2 percent slopes, Northern Tidewater Area",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603482,DE005,SadB,"Sassafras sandy loam, 2 to 5 percent slopes, Northern Tidewater Area",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603484,DE005,SacC,"Sassafras sandy loam, 5 to 10 percent slopes, Mid-Atlantic Coastal Plain",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603490,DE005,SSD,"Sassafras sandy loam, 10 to 15 percent slopes",Sassafras,75,B,Well drained,None,5,28,3.9685,0.13,A-4,CL-ML,,,,Somewhat limited,Very limited,Somewhat limited,Fair
1603496,DE005,UbB,"Udorthents, borrow area, 0 to 5 percent slopes",Udorthents,75,C,Moderately well drained,None,5,2.2,0.3118,0.16,A-6,CL,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603497,DE005,UfB,"Udorthents, refuse substratum, 0 to 35 percent slopes",Udorthents,85,C,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,Strongly contrasting textural stratification,2.5,3.7,Very limited,Somewhat limited,Very limited,Poor
1603498,DE005,UlA,"Unicorn loam, 0 to 2 percent slopes",Unicorn,85,C,Well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1603500,DE005,Up,Urban land,Urban land,90,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
1603501,DE005,UzC,"Udorthents, 0 to 10 percent slopes",Udorthents,90,A,Well drained,None,0,28,3.9685,0.13,A-2,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1603502,DE005,UzD,"Udorthents, 10 to 30 percent slopes",Udorthents,90,A,Well drained,None,0,28,3.9685,0.13,A-2,SM,,,3.7,Somewhat limited,Very limited,Somewhat limited,Fair
1603503,DE005,W,Water,Water,100,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
1603504,DE005,WddA,"Woodstown sandy loam, 0 to 2 percent slopes, Northern Tidewater Area",Woodstown,80,C,Moderately well drained,None,6,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603506,DE005,WocA,"Woodstown loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1603570,DE005,Za,"Zekiah sandy loam, frequently flooded",Zekiah,75,B/D,Poorly drained,Frequent,95,18,2.5512,0.13,A-4,ML,,,0.4,Very limited,Very limited,Very limited,Fair
1606010,DE001,AbC,"Acquango-Beaches complex, 0 to 10 percent slopes",Acquango,50,A,Excessively drained,Occasional,0,600,85.0392,0.05,A-3,SP-SM,,,0.4,Very limited,Very limited,Very limited,Good
1606012,DE001,AsA,"Askecksy loamy sand, 0 to 2 percent slopes",Askecksy,45,A/D,Poorly drained,None,90,600,85.0392,0.45,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1606015,DE001,CaA,"Carmichael loam, 0 to 2 percent slopes",Carmichael,45,C/D,Poorly drained,None,90,5.64,0.7994,0.22,A-4,ML,,,0.4,Very limited,Very limited,Very limited,Fair
1606016,DE001,CdB,"Cedartown loamy sand, 0 to 5 percent slopes",Cedartown,75,A,Somewhat excessively drained,None,0,45,6.3779,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1606018,DE001,CoA,"Corsica mucky loam, 0 to 2 percent slopes",Corsica,55,B/D,Very poorly drained,None,95,600,85.0392,0.5,A-8,PT,,,0.2,Very limited,Very limited,Very limited,Poor
1606020,DE001,CsA,"Crosiadore silt loam, 0 to 2 percent slopes",Crosiadore,75,C/D,Somewhat poorly drained,None,0,5.64,0.7994,0.2,A-4,CL-ML,,,1.2,Very limited,Very limited,Very limited,Fair
1606021,DE001,DnA,"Downer loamy sand, 0 to 2 percent slopes",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606022,DE001,DncB,"Downer loamy sand, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606023,DE001,DnC,"Downer loamy sand, 5 to 10 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606024,DE001,DoA,"Downer sandy loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606025,DE001,DodB,"Downer sandy loam, 2 to 5 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606026,DE001,DoC,"Downer sandy loam, 5 to 10 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606027,DE001,DuB,"Downer-Urban land complex, 0 to 5 percent slopes",Downer,60,A,Well drained,None,0,28,3.9685,0.12,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606029,DE001,EmA,"Elkton silt loam, 0 to 2 percent slopes",Elkton,40,C/D,Poorly drained,None,80,600,85.0392,0.5,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Poor
1606030,DE001,EvB,"Evesboro loamy sand, 0 to 5 percent slopes",Evesboro,75,A,Excessively drained,None,0,92,13.0393,0.1,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606031,DE001,EvD,"Evesboro loamy sand, 5 to 15 percent slopes",Evesboro,75,A,Excessively drained,None,0,92,13.0393,0.1,A-2-4,SM,,,,Somewhat limited,Very limited,Somewhat limited,Fair
1606032,DE001,FzB,"Fallsington-Urban land complex, 0 to 5 percent slopes",Fallsington,40,B/D,Poorly drained,None,65,28,3.9685,0.13,A-4,SC-SM,,,0.4,Somewhat limited,Very limited,Very limited,Fair
1606034,DE001,FgcA,"Fallsington loams, 0 to 2 percent slopes, Mid-Altlantic Coastal Plain",Fallsington,38,C/D,Poorly drained,None,81,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1606036,DE001,FacA,"Fallsington sandy loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Fallsington,48,C/D,Poorly drained,None,78,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1606037,DE001,FmA,"Fort Mott loamy sand, 0 to 2 percent slopes",Fort Mott,80,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606038,DE001,FmB,"Fort Mott loamy sand, 2 to 5 percent slopes",Fort Mott,80,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606039,DE001,FhB,"Fort Mott-Henlopen complex, 2 to 5 percent slopes",Fort Mott,45,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606040,DE001,GaB,"Galestown loamy sand, 0 to 5 percent slopes",Galestown,80,A,Somewhat excessively drained,None,0,135,19.1338,0.1,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606041,DE001,GaD,"Galestown loamy sand, 5 to 15 percent slopes",Galestown,80,A,Somewhat excessively drained,None,0,135,19.1338,0.1,A-2-4,SM,,,,Somewhat limited,Very limited,Somewhat limited,Fair
1606042,DE001,GoA,"Glassboro sandy loam, 0 to 2 percent slopes",Glassboro,80,A/D,Somewhat poorly drained,None,0,28.225,4.0004,0.13,A-2-4,SC-SM,,,1.0,Very limited,Very limited,Very limited,Fair
1606044,DE001,GrA,"Greenwich loam, 0 to 2 percent slopes",Greenwich,85,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
1606045,DE001,GrB,"Greenwich loam, 2 to 5 percent slopes",Greenwich,85,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
1606046,DE001,GuB,"Greenwich-Urban land complex, 0 to 5 percent slopes",Greenwich,60,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
1606047,DE001,HbA,"Hambrook sandy loam, 0 to 2 percent slopes",Hambrook,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1606048,DE001,HbB,"Hambrook sandy loam, 2 to 5 percent slopes",Hambrook,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1606052,DE001,HkB,"Hambrook-Urban land complex, 0 to 5 percent slopes",Hambrook,45,,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Not rated,Not rated,Not rated,Not rated
1606053,DE001,HmAc,"Hammonton loamy sand, 0 to 2 percent slopes, Mid Atlantic Coastal Plain",Hammonton,85,B,Moderately well drained,None,5,28,3.9685,0.13,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606054,DE001,HnA,"Hammonton sandy loam, 0 to 2 percent slopes",Hammonton,80,B,Moderately well drained,None,5,28,3.9685,0.13,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606056,DE001,HnB,"Hammonton sandy loam, 2 to 5 percent slopes",Hammonton,80,B,Moderately well drained,None,5,28,3.9685,0.13,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606057,DE001,HoA,"Hammonton-Fallsington-Mullica complex, 0 to 2 percent slopes",Hammonton,40,B,Moderately well drained,None,55,28,3.9685,0.13,A-2-4,SM,,,0.4,Somewhat limited,Very limited,Very limited,Fair
1606058,DE001,HpA,"Henlopen loamy sand, 0 to 2 percent slopes",Henlopen,80,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606059,DE001,HpB,"Henlopen loamy sand, 2 to 5 percent slopes",Henlopen,80,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1606060,DE001,HrA,"Henlopen-Rosedale complex, 0 to 2 percent slopes",Henlopen,50,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1606061,DE001,HrB,"Henlopen-Rosedale complex, 2 to 5 percent slopes",Henlopen,45,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1606067,DE001,HsA,"Henlopen-Rosedale-Urban land complex, 0 to 2 percent slopes",Henlopen,40,A,Somewhat excessively drained,None,0,92,13.0393,0.07,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
