mukey,areasymbol,musym,muname,compname,comppct_r,hydgrp,drainagecl,floodfreq,pondfreq,ksat_um_s,ksat_in_hr,awc,aashto,uscs,reskind,resdept_ft,wtdepannmin_ft,eng_roads,eng_shallow_excav,eng_dwellings,eng_sand_source
2479783,DE003,DoaC,"Downer sandy loam, 5 to 10 percent slopes, Northern Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
2479784,DE003,IgB,"Ingleside sandy loam, 2 to 5 percent slopes",Ingleside,75,A,Well drained,None,0,28,3.9685,0.13,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
2479785,DE003,IeA,"Ingleside loamy sand, 0 to 2 percent slopes",Ingleside,75,A,Well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
2479786,DE003,IeB,"Ingleside loamy sand, 2 to 5 percent slopes",Ingleside,75,A,Well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
2479787,DE003,HnA,"Hammonton sandy loam, 0 to 2 percent slopes",Hammonton,80,B,Moderately well drained,None,5,28,3.9685,0.13,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479788,DE003,MmA,"Mullica mucky sandy loam, 0 to 2 percent slopes",Mullica,50,A/D,Very poorly drained,None,80,28,3.9685,0.13,A-2-5,SM,,,0.2,Very limited,Very limited,Very limited,Fair
2479789,DE003,GrA,"Greenwich loam, 0 to 2 percent slopes",Greenwich,85,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
2479790,DE003,GrB,"Greenwich loam, 2 to 5 percent slopes",Greenwich,85,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
2479791,DE003,GuB,"Greenwich-Urban land complex, 0 to 5 percent slopes",Greenwich,60,B,Well drained,None,0,5.64,0.7994,0.18,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Good
2479793,DE003,SacB,"Sassafras sandy loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2479794,DE003,SaaC,"Sassafras sandy loam, 5 to 10 percent slopes, Northern Coastal Plain",Sassafras,80,B,Well drained,None,4,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2479795,DE003,SaD,"Sassafras sandy loam, 10 to 15 percent slopes",Sassafras,75,B,Well drained,None,5,28,3.9685,0.13,A-4,CL-ML,,,,Somewhat limited,Very limited,Somewhat limited,Fair
2479796,DE003,SaE,"Sassafras sandy loam, 15 to 25 percent slopes",Sassafras,75,B,Well drained,None,0,28,3.9685,0.13,A-4,CL-ML,,,,Very limited,Very limited,Very limited,Fair
2479797,DE003,HbA,"Hambrook sandy loam, 0 to 2 percent slopes",Hambrook,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
2479798,DE003,HbB,"Hambrook sandy loam, 2 to 5 percent slopes",Hambrook,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
2479799,DE003,HkB,"Hambrook-Urban land complex, 0 to 5 percent slopes",Hambrook,45,,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,,,3.7,Not rated,Not rated,Not rated,Not rated
2479800,DE003,WoaA,"Woodstown loam, 0 to 2 percent slopes, Northern Coastal Plain",Woodstown,81,C,Moderately well drained,None,7,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479801,DE003,WoaB,"Woodstown loam, 2 to 5 percent slopes, Northern Coastal Plain",Woodstown,81,C,Moderately well drained,None,7,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479802,DE003,WdaA,"Woodstown sandy loam, 0 to 2 percent slopes, Northern Coastal Plain",Woodstown,81,C,Moderately well drained,None,7,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479803,DE003,WdaB,"Woodstown sandy loam, 2 to 5 percent slopes, Northern Coastal Plain",Woodstown,81,C,Moderately well drained,None,7,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479804,DE003,FgaA,"Fallsington loams, 0 to 2 percent slopes, Northern Coastal Plain",Fallsington,38,C/D,Poorly drained,None,85,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
2479805,DE003,FaaA,"Fallsington sandy loams, 0 to 2 percent slopes, northern coastal plain",Fallsington,48,C/D,Poorly drained,None,75,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
2479806,DE003,FzB,"Fallsington-Urban land complex, 0 to 5 percent slopes",Fallsington,40,B/D,Poorly drained,None,65,28,3.9685,0.13,A-4,SC-SM,,,0.4,Somewhat limited,Very limited,Very limited,Fair
2479807,DE003,CoA,"Corsica mucky loam, 0 to 2 percent slopes",Corsica,55,B/D,Very poorly drained,None,95,600,85.0392,0.5,A-8,PT,,,0.2,Very limited,Very limited,Very limited,Poor
2479808,DE003,CsA,"Crosiadore silt loam, 0 to 2 percent slopes",Crosiadore,75,C/D,Somewhat poorly drained,None,0,5.64,0.7994,0.2,A-4,CL-ML,,,1.2,Very limited,Very limited,Very limited,Fair
2479809,DE003,CnB,"Collington fine sandy loam, 2 to 5 percent slopes",Collington,80,B,Well drained,None,0,23.29,3.3009,0.18,A-4,SC,,,,Somewhat limited,Very limited,Not limited,Fair
2479810,DE003,CnD,"Collington fine sandy loam, 5 to 10 percent slopes",Collington,80,B,Well drained,None,0,23.29,3.3009,0.18,A-4,SC,,,,Somewhat limited,Very limited,Not limited,Fair
2479812,DE003,KmE,"Keyport loam, 10 to 25 percent slopes",Keyport,80,D,Moderately well drained,None,0,14,1.9842,0.19,A-4,CL-ML,,,2.0,Very limited,Very limited,Very limited,Poor
2479813,DE003,KpA,"Keyport silt loam, 0 to 2 percent slopes",Keyport,80,D,Moderately well drained,None,5,9,1.2756,0.22,A-4,ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Poor
2479814,DE003,KpB,"Keyport silt loam, 2 to 5 percent slopes",Keyport,80,D,Moderately well drained,None,0,9,1.2756,0.22,A-4,ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Poor
2479815,DE003,KhC,"Keyport sandy loam, 5 to 10 percent slopes",Keyport,80,D,Moderately well drained,None,0,28,3.9685,0.13,A-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Poor
2479816,DE003,LhA,"Lenni silt loam, 0 to 2 percent slopes",Lenni,50,D,Poorly drained,None,80,5.64,0.7994,0.19,A-4,CL-ML,,,0.4,Very limited,Very limited,Very limited,Fair
2479817,DE003,LeA,"Leipsic silt loam, 0 to 2 percent slopes",Leipsic,75,C,Moderately well drained,None,0,9,1.2756,0.21,A-4,ML,,,2.0,Very limited,Very limited,Somewhat limited,Poor
2479818,DE003,LeB,"Leipsic silt loam, 2 to 5 percent slopes",Leipsic,75,C,Moderately well drained,None,0,9,1.2756,0.21,A-4,ML,,,2.0,Very limited,Very limited,Somewhat limited,Poor
2479819,DE003,RdA,"Reybold-Queponco complex, 0 to 2 percent slopes",Reybold,45,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,,,3.7,Somewhat limited,Very limited,Not limited,Fair
2479820,DE003,ReA,"Reybold silt loam, 0 to 2 percent slopes",Reybold,75,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Fair
2479821,DE003,ReB,"Reybold silt loam, 2 to 5 percent slopes",Reybold,75,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Fair
2479822,DE003,ReC,"Reybold silt loam, 5 to 10 percent slopes",Reybold,75,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Fair
2479836,DE003,EmA,"Elkton silt loam, 0 to 2 percent slopes",Elkton,40,C/D,Poorly drained,None,80,600,85.0392,0.5,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Poor
2479837,DE003,NsA,"Nassawango silt loam, 0 to 2 percent slopes",Nassawango,80,C,Well drained,None,5,5.64,0.7994,0.22,A-4,ML,,,3.7,Very limited,Very limited,Not limited,Fair
2479838,DE003,NsB,"Nassawango silt loam, 2 to 5 percent slopes",Nassawango,80,C,Well drained,None,5,5.64,0.7994,0.22,A-4,ML,,,3.7,Very limited,Very limited,Not limited,Fair
2479839,DE003,MkA,"Matapeake silt loam, 0 to 2 percent slopes",Matapeake,80,C,Well drained,None,0,5.64,0.7994,0.19,A-4,CL-ML,,,,Very limited,Very limited,Not limited,Fair
2479840,DE003,MkB,"Matapeake silt loam, 2 to 5 percent slopes",Matapeake,80,C,Well drained,None,0,5.64,0.7994,0.19,A-4,CL-ML,,,,Very limited,Very limited,Not limited,Fair
